,ID,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
Fz_068,233,1216.993,1191.758,1157.452,1114.338,1062.743,1003.060,935.743,861.305,780.311,693.379,601.170,504.385,403.762,300.066,194.086,86.629,-21.487,-129.439,-236.407
Fz_069,234,1039.515,1019.867,992.457,957.494,915.244,866.029,810.222,748.249,680.581,607.734,530.262,448.754,363.830,276.138,186.344,95.132,3.196,-88.765,-180.049
Fz_070,235,1438.394,1485.136,1520.576,1544.443,1556.556,1556.823,1545.241,1521.899,1486.975,1440.733,1383.527,1315.791,1238.042,1150.870,1054.939,950.980,839.783,722.195,599.110
Fz_071,236,932.364,965.496,991.280,1009.520,1020.077,1022.870,1017.879,1005.141,984.753,956.871,921.706,879.527,830.653,775.459,714.362,647.829,576.365,500.515,420.855
Fz_072,237,1195.822,1186.849,1168.842,1141.940,1106.347,1062.334,1010.236,950.450,883.430,809.687,729.781,644.321,553.958,459.379,361.303,260.478,157.671,53.663,-50.753
Fz_073,238,1313.790,1305.964,1288.200,1260.631,1223.468,1176.994,1121.562,1057.594,985.578,906.060,819.647,726.996,628.812,525.843,418.871,308.712,196.203,82.201,-32.427
Fz_074,239,839.715,875.944,905.507,928.178,943.786,952.211,953.389,947.311,934.023,913.627,886.277,852.183,811.603,764.846,712.268,654.270,591.292,523.813,452.349
Fz_075,240,1163.811,1242.499,1311.732,1370.981,1419.796,1457.806,1484.721,1500.336,1504.533,1497.280,1478.631,1448.729,1407.802,1356.160,1294.197,1222.384,1141.268,1051.467,953.663
Fz_076,241,1101.197,1191.314,1272.364,1343.731,1404.871,1455.319,1494.692,1522.689,1539.097,1543.792,1536.738,1517.988,1487.685,1446.061,1393.430,1330.195,1256.837,1173.913,1082.055
Fz_077,242,1032.249,1130.052,1219.255,1299.179,1369.215,1428.830,1477.571,1515.067,1541.033,1555.270,1557.671,1548.217,1526.980,1494.122,1449.892,1394.628,1328.750,1252.760,1167.235
Fz_078,243,493.876,497.545,497.427,493.524,485.865,474.508,459.539,441.074,419.251,394.238,366.224,335.423,302.069,266.417,228.737,189.316,148.454,106.462,63.660
Fz_079,301,656.971,653.136,644.329,630.619,612.110,588.942,561.292,529.370,493.419,453.713,410.554,364.271,315.215,263.760,210.298,155.235,98.991,41.993,-15.324
Fz_080,302,870.288,866.516,856.150,839.268,815.999,786.519,751.053,709.872,663.288,611.655,555.368,494.854,430.574,363.017,292.698,220.150,145.928,70.594,-5.277
Fz_081,303,961.430,957.117,945.520,926.726,900.880,868.178,828.868,783.250,731.670,674.523,612.242,545.301,474.211,399.511,321.771,241.582,159.554,76.312,-7.511
